dc_id,retailer_id,distance_km,cost_nonrefrig_per_unit,refrig_premium_per_unit,total_cost_refrig_per_unit,emit_nonrefrig_kgco2_per_unit,emit_refrig_kgco2_per_unit,travel_time_hrs,decay_nonrefrig,decay_refrig
D001,R074,1261.5,50.46,35.322,85.782,0.078213,0.132458,31.54,0.2305,0.0263
D001,R075,1186.82,47.4728,33.231,80.7038,0.073583,0.124616,29.67,0.2275,0.0259
D001,R076,1342.33,53.6932,37.5852,91.2784,0.083224,0.140945,33.56,0.2337,0.0267
D001,R077,1388.67,55.5468,38.8828,94.4296,0.086098,0.14581,34.72,0.2355,0.0269
D001,R078,1408.27,56.3308,39.4316,95.7624,0.087313,0.147868,35.21,0.2363,0.027
D001,R079,1345.01,53.8004,37.6603,91.4607,0.083391,0.141226,33.63,0.2338,0.0267
D001,R080,1363.57,54.5428,38.18,92.7228,0.084541,0.143175,34.09,0.2345,0.0268
D001,R081,1143.04,45.7216,32.0051,77.7267,0.070868,0.120019,28.58,0.2257,0.0257
D001,R082,1158.88,46.3552,32.4486,78.8038,0.071851,0.121682,28.97,0.2264,0.0258
D001,R083,1089.32,43.5728,30.501,74.0738,0.067538,0.114379,27.23,0.2236,0.0254
D001,R084,1136.95,45.478,31.8346,77.3126,0.070491,0.11938,28.42,0.2255,0.0257
D001,R085,1096.44,43.8576,30.7003,74.5579,0.067979,0.115126,27.41,0.2239,0.0255
D001,R086,1234.43,49.3772,34.564,83.9412,0.076535,0.129615,30.86,0.2294,0.0262
D001,R087,1229.51,49.1804,34.4263,83.6067,0.07623,0.129099,30.74,0.2292,0.0261
D001,R088,1275.66,51.0264,35.7185,86.7449,0.079091,0.133944,31.89,0.231,0.0264
D001,R089,1280.62,51.2248,35.8574,87.0822,0.079398,0.134465,32.02,0.2312,0.0264
D001,R090,1211.5,48.46,33.922,82.382,0.075113,0.127208,30.29,0.2285,0.0261
D001,R091,1003.92,40.1568,28.1098,68.2666,0.062243,0.105412,25.1,0.2202,0.025
D001,R092,997.42,39.8968,27.9278,67.8246,0.06184,0.104729,24.94,0.2199,0.025
D001,R093,1055.55,42.222,29.5554,71.7774,0.065444,0.110833,26.39,0.2222,0.0253
D001,R094,1072.21,42.8884,30.0219,72.9103,0.066477,0.112582,26.81,0.2229,0.0254
D001,R095,1049.37,41.9748,29.3824,71.3572,0.065061,0.110184,26.23,0.222,0.0252
D001,R096,1030.45,41.218,28.8526,70.0706,0.063888,0.108197,25.76,0.2212,0.0252
D001,R097,969.49,38.7796,27.1457,65.9253,0.060108,0.101796,24.24,0.2188,0.0248
D001,R098,1058.28,42.3312,29.6318,71.963,0.065613,0.111119,26.46,0.2223,0.0253
D001,R099,1007.33,40.2932,28.2052,68.4984,0.062454,0.10577,25.18,0.2203,0.025
D001,R100,1014.42,40.5768,28.4038,68.9806,0.062894,0.106514,25.36,0.2206,0.0251
D001,R101,1136.14,45.4456,31.8119,77.2575,0.070441,0.119295,28.4,0.2254,0.0257
D001,R102,1155.04,46.2016,32.3411,78.5427,0.071612,0.121279,28.88,0.2262,0.0258
D001,R103,1215.26,48.6104,34.0273,82.6377,0.075346,0.127602,30.38,0.2286,0.0261
D001,R104,1168.66,46.7464,32.7225,79.4689,0.072457,0.122709,29.22,0.2267,0.0258
D001,R105,1211.96,48.4784,33.9349,82.4133,0.075142,0.127256,30.3,0.2285,0.0261
D001,R106,1094.24,43.7696,30.6387,74.4083,0.067843,0.114895,27.36,0.2238,0.0255
D001,R107,1110.74,44.4296,31.1007,75.5303,0.068866,0.116628,27.77,0.2244,0.0256
D001,R108,1118.03,44.7212,31.3048,76.026,0.069318,0.117393,27.95,0.2247,0.0256
D001,R109,1101.24,44.0496,30.8347,74.8843,0.068277,0.11563,27.53,0.224,0.0255
D001,R110,1080.54,43.2216,30.2551,73.4767,0.066993,0.113457,27.01,0.2232,0.0254
D001,R111,1001.22,40.0488,28.0342,68.083,0.062076,0.105128,25.03,0.22,0.025
D001,R112,984.45,39.378,27.5646,66.9426,0.061036,0.103367,24.61,0.2194,0.0249
D001,R113,1040.85,41.634,29.1438,70.7778,0.064533,0.109289,26.02,0.2216,0.0252
D001,R114,977.34,39.0936,27.3655,66.4591,0.060595,0.102621,24.43,0.2191,0.0249
D001,R115,1058.05,42.322,29.6254,71.9474,0.065599,0.111095,26.45,0.2223,0.0253
D001,R116,1299.43,51.9772,36.384,88.3612,0.080565,0.13644,32.49,0.232,0.0265
D001,R117,1208.18,48.3272,33.829,82.1562,0.074907,0.126859,30.2,0.2283,0.026
D001,R118,1316.42,52.6568,36.8598,89.5166,0.081618,0.138224,32.91,0.2327,0.0266
D001,R119,1266.49,50.6596,35.4617,86.1213,0.078522,0.132981,31.66,0.2307,0.0263
D001,R120,1263.87,50.5548,35.3884,85.9432,0.07836,0.132706,31.6,0.2306,0.0263
D001,R121,934.9,37.396,26.1772,63.5732,0.057964,0.098165,23.37,0.2174,0.0247
D001,R122,1007.02,40.2808,28.1966,68.4774,0.062435,0.105737,25.18,0.2203,0.025
D001,R123,1000.72,40.0288,28.0202,68.049,0.062045,0.105076,25.02,0.22,0.025
D001,R124,937.09,37.4836,26.2385,63.7221,0.0581,0.098394,23.43,0.2175,0.0247
D001,R125,955.97,38.2388,26.7672,65.006,0.05927,0.100377,23.9,0.2182,0.0248
D001,R126,850.21,34.0084,23.8059,57.8143,0.052713,0.089272,21.26,0.214,0.0243
D001,R127,864.14,34.5656,24.1959,58.7615,0.053577,0.090735,21.6,0.2146,0.0243
D001,R128,846.45,33.858,23.7006,57.5586,0.05248,0.088877,21.16,0.2139,0.0242
D001,R129,879.32,35.1728,24.621,59.7938,0.054518,0.092329,21.98,0.2152,0.0244
D001,R130,797.94,31.9176,22.3423,54.2599,0.049472,0.083784,19.95,0.2119,0.024
D001,R131,803.92,32.1568,22.5098,54.6666,0.049843,0.084412,20.1,0.2122,0.024
D001,R132,825.13,33.0052,23.1036,56.1088,0.051158,0.086639,20.63,0.213,0.0241
D001,R133,914.43,36.5772,25.604,62.1812,0.056695,0.096015,22.86,0.2166,0.0246
D001,R134,839.97,33.5988,23.5192,57.118,0.052078,0.088197,21.0,0.2136,0.0242
D001,R135,781.95,31.278,21.8946,53.1726,0.048481,0.082105,19.55,0.2113,0.0239
D001,R136,448.19,17.9276,12.5493,30.4769,0.027788,0.04706,11.2,0.1979,0.0222
D001,R137,475.8,19.032,13.3224,32.3544,0.0295,0.049959,11.89,0.199,0.0224
D001,R138,489.24,19.5696,13.6987,33.2683,0.030333,0.05137,12.23,0.1996,0.0224
D001,R139,531.99,21.2796,14.8957,36.1753,0.032983,0.055859,13.3,0.2013,0.0227
D001,R140,485.34,19.4136,13.5895,33.0031,0.030091,0.050961,12.13,0.1994,0.0224
D001,R141,652.79,26.1116,18.2781,44.3897,0.040473,0.068543,16.32,0.2061,0.0233
D001,R142,704.89,28.1956,19.7369,47.9325,0.043703,0.074013,17.62,0.2082,0.0235
D001,R143,722.49,28.8996,20.2297,49.1293,0.044794,0.075861,18.06,0.2089,0.0236
D001,R144,685.26,27.4104,19.1873,46.5977,0.042486,0.071952,17.13,0.2074,0.0234
D001,R145,649.33,25.9732,18.1812,44.1544,0.040258,0.06818,16.23,0.206,0.0232
D001,R146,399.71,15.9884,11.1919,27.1803,0.024782,0.04197,9.99,0.196,0.022
D001,R147,416.98,16.6792,11.6754,28.3546,0.025853,0.043783,10.42,0.1967,0.0221
D001,R148,408.77,16.3508,11.4456,27.7964,0.025344,0.042921,10.22,0.1964,0.022
D001,R149,371.18,14.8472,10.393,25.2402,0.023013,0.038974,9.28,0.1948,0.0219
D001,R150,364.48,14.5792,10.2054,24.7846,0.022598,0.03827,9.11,0.1946,0.0218
D001,R151,440.82,17.6328,12.343,29.9758,0.027331,0.046286,11.02,0.1976,0.0222
D001,R152,468.53,18.7412,13.1188,31.86,0.029049,0.049196,11.71,0.1987,0.0223
D001,R153,443.72,17.7488,12.4242,30.173,0.027511,0.046591,11.09,0.1977,0.0222
D001,R154,504.92,20.1968,14.1378,34.3346,0.031305,0.053017,12.62,0.2002,0.0225
D001,R155,475.62,19.0248,13.3174,32.3422,0.029488,0.04994,11.89,0.199,0.0224
D001,R156,989.26,39.5704,27.6993,67.2697,0.061334,0.103872,24.73,0.2196,0.0249
D001,R157,865.69,34.6276,24.2393,58.8669,0.053673,0.090897,21.64,0.2146,0.0243
D001,R158,941.66,37.6664,26.3665,64.0329,0.058383,0.098874,23.54,0.2177,0.0247
D001,R159,852.82,34.1128,23.879,57.9918,0.052875,0.089546,21.32,0.2141,0.0243
D001,R160,874.5,34.98,24.486,59.466,0.054219,0.091823,21.86,0.215,0.0244
D001,R161,784.27,31.3708,21.9596,53.3304,0.048625,0.082348,19.61,0.2114,0.0239
D001,R162,766.48,30.6592,21.4614,52.1206,0.047522,0.08048,19.16,0.2107,0.0238
D001,R163,788.8,31.552,22.0864,53.6384,0.048906,0.082824,19.72,0.2116,0.0239
D001,R164,797.83,31.9132,22.3392,54.2524,0.049465,0.083772,19.95,0.2119,0.024
D001,R165,756.87,30.2748,21.1924,51.4672,0.046926,0.079471,18.92,0.2103,0.0238
D001,R166,661.23,26.4492,18.5144,44.9636,0.040996,0.069429,16.53,0.2064,0.0233
D001,R167,580.38,23.2152,16.2506,39.4658,0.035984,0.06094,14.51,0.2032,0.0229
D001,R168,607.56,24.3024,17.0117,41.3141,0.037669,0.063794,15.19,0.2043,0.023
D001,R169,594.67,23.7868,16.6508,40.4376,0.03687,0.06244,14.87,0.2038,0.023
D001,R170,601.1,24.044,16.8308,40.8748,0.037268,0.063116,15.03,0.204,0.023
D001,R171,758.47,30.3388,21.2372,51.576,0.047025,0.079639,18.96,0.2103,0.0238
D001,R172,732.86,29.3144,20.5201,49.8345,0.045437,0.07695,18.32,0.2093,0.0237
D001,R173,709.41,28.3764,19.8635,48.2399,0.043983,0.074488,17.74,0.2084,0.0235
D001,R174,754.61,30.1844,21.1291,51.3135,0.046786,0.079234,18.87,0.2102,0.0238
D001,R175,745.8,29.832,20.8824,50.7144,0.04624,0.078309,18.64,0.2098,0.0237
D001,R176,1006.31,40.2524,28.1767,68.4291,0.062391,0.105663,25.16,0.2203,0.025
D001,R177,995.92,39.8368,27.8858,67.7226,0.061747,0.104572,24.9,0.2198,0.025
D001,R178,1018.66,40.7464,28.5225,69.2689,0.063157,0.106959,25.47,0.2207,0.0251
D001,R179,975.27,39.0108,27.3076,66.3184,0.060467,0.102403,24.38,0.219,0.0249
D001,R180,973.27,38.9308,27.2516,66.1824,0.060343,0.102193,24.33,0.2189,0.0249
D001,R181,838.67,33.5468,23.4828,57.0296,0.051998,0.08806,20.97,0.2135,0.0242
D001,R182,805.45,32.218,22.5526,54.7706,0.049938,0.084572,20.14,0.2122,0.024
D001,R183,857.79,34.3116,24.0181,58.3297,0.053183,0.090068,21.44,0.2143,0.0243
D001,R184,798.62,31.9448,22.3614,54.3062,0.049514,0.083855,19.97,0.2119,0.024
D001,R185,858.09,34.3236,24.0265,58.3501,0.053202,0.090099,21.45,0.2143,0.0243
D001,R186,1664.47,66.5788,46.6052,113.184,0.103197,0.174769,41.61,0.2466,0.0283
D001,R187,1636.9,65.476,45.8332,111.3092,0.101488,0.171875,40.92,0.2455,0.0282
D001,R188,1628.78,65.1512,45.6058,110.757,0.100984,0.171022,40.72,0.2452,0.0281
D001,R189,1651.34,66.0536,46.2375,112.2911,0.102383,0.173391,41.28,0.2461,0.0283
D001,R190,1654.2,66.168,46.3176,112.4856,0.10256,0.173691,41.36,0.2462,0.0283
D001,R191,1652.05,66.082,46.2574,112.3394,0.102427,0.173465,41.3,0.2461,0.0283
D001,R192,1658.2,66.328,46.4296,112.7576,0.102808,0.174111,41.45,0.2463,0.0283
D001,R193,1601.71,64.0684,44.8479,108.9163,0.099306,0.16818,40.04,0.2441,0.028
D001,R194,1670.84,66.8336,46.7835,113.6171,0.103592,0.175438,41.77,0.2468,0.0284
D001,R195,1683.11,67.3244,47.1271,114.4515,0.104353,0.176727,42.08,0.2473,0.0284
D001,R196,1643.51,65.7404,46.0183,111.7587,0.101898,0.172569,41.09,0.2457,0.0282
D001,R197,1567.56,62.7024,43.8917,106.5941,0.097189,0.164594,39.19,0.2427,0.0278
D001,R198,1571.88,62.8752,44.0126,106.8878,0.097457,0.165047,39.3,0.2429,0.0279
D001,R199,1606.64,64.2656,44.9859,109.2515,0.099612,0.168697,40.17,0.2443,0.028
D001,R200,1594.07,63.7628,44.634,108.3968,0.098832,0.167377,39.85,0.2438,0.028
D001,R201,1499.63,59.9852,41.9896,101.9748,0.092977,0.157461,37.49,0.24,0.0275
D001,R202,1559.41,62.3764,43.6635,106.0399,0.096683,0.163738,38.99,0.2424,0.0278
D001,R203,1499.18,59.9672,41.977,101.9442,0.092949,0.157414,37.48,0.24,0.0275
D001,R204,1587.25,63.49,44.443,107.933,0.09841,0.166661,39.68,0.2435,0.0279
D001,R205,1615.4,64.616,45.2312,109.8472,0.100155,0.169617,40.39,0.2446,0.0281
D001,R206,1832.05,73.282,51.2974,124.5794,0.113587,0.192365,45.8,0.2533,0.0292
D001,R207,1855.16,74.2064,51.9445,126.1509,0.11502,0.194792,46.38,0.2542,0.0293
D001,R208,1828.07,73.1228,51.186,124.3088,0.11334,0.191947,45.7,0.2531,0.0291
D001,R209,1766.8,70.672,49.4704,120.1424,0.109542,0.185514,44.17,0.2507,0.0288
D001,R210,1839.21,73.5684,51.4979,125.0663,0.114031,0.193117,45.98,0.2536,0.0292
D001,R211,1595.78,63.8312,44.6818,108.513,0.098938,0.167557,39.89,0.2438,0.028
D001,R212,1616.68,64.6672,45.267,109.9342,0.100234,0.169751,40.42,0.2447,0.0281
D001,R213,1627.26,65.0904,45.5633,110.6537,0.10089,0.170862,40.68,0.2451,0.0281
D001,R214,1579.51,63.1804,44.2263,107.4067,0.09793,0.165849,39.49,0.2432,0.0279
D001,R215,1623.47,64.9388,45.4572,110.396,0.100655,0.170464,40.59,0.2449,0.0281
D001,R216,410.82,16.4328,11.503,27.9358,0.025471,0.043136,10.27,0.1964,0.0221
D001,R217,442.94,17.7176,12.4023,30.1199,0.027462,0.046509,11.07,0.1977,0.0222
D001,R218,389.63,15.5852,10.9096,26.4948,0.024157,0.040911,9.74,0.1956,0.0219
D001,R219,500.42,20.0168,14.0118,34.0286,0.031026,0.052544,12.51,0.2,0.0225
D001,R220,462.77,18.5108,12.9576,31.4684,0.028692,0.048591,11.57,0.1985,0.0223
D001,R221,256.16,10.2464,7.1725,17.4189,0.015882,0.026897,6.4,0.1902,0.0213
D001,R222,233.63,9.3452,6.5416,15.8868,0.014485,0.024531,5.84,0.1893,0.0212
D001,R223,250.19,10.0076,7.0053,17.0129,0.015512,0.02627,6.25,0.19,0.0213
D001,R224,195.38,7.8152,5.4706,13.2858,0.012114,0.020515,4.88,0.1878,0.021
D001,R225,298.92,11.9568,8.3698,20.3266,0.018533,0.031387,7.47,0.192,0.0215
D001,R226,420.06,16.8024,11.7617,28.5641,0.026044,0.044106,10.5,0.1968,0.0221
D001,R227,353.42,14.1368,9.8958,24.0326,0.021912,0.037109,8.84,0.1941,0.0218
D001,R228,348.97,13.9588,9.7712,23.73,0.021636,0.036642,8.72,0.194,0.0217
D001,R229,373.41,14.9364,10.4555,25.3919,0.023151,0.039208,9.34,0.1949,0.0219
D001,R230,367.63,14.7052,10.2936,24.9988,0.022793,0.038601,9.19,0.1947,0.0218
D001,R231,406.95,16.278,11.3946,27.6726,0.025231,0.04273,10.17,0.1963,0.022
D001,R232,393.75,15.75,11.025,26.775,0.024413,0.041344,9.84,0.1957,0.022
D001,R233,382.63,15.3052,10.7136,26.0188,0.023723,0.040176,9.57,0.1953,0.0219
D001,R234,369.13,14.7652,10.3356,25.1008,0.022886,0.038759,9.23,0.1948,0.0218
D001,R235,423.4,16.936,11.8552,28.7912,0.026251,0.044457,10.58,0.1969,0.0221
D001,R236,317.32,12.6928,8.885,21.5778,0.019674,0.033319,7.93,0.1927,0.0216
D001,R237,314.39,12.5756,8.8029,21.3785,0.019492,0.033011,7.86,0.1926,0.0216
D001,R238,376.43,15.0572,10.54,25.5972,0.023339,0.039525,9.41,0.1951,0.0219
D001,R239,295.21,11.8084,8.2659,20.0743,0.018303,0.030997,7.38,0.1918,0.0215
D001,R240,277.38,11.0952,7.7666,18.8618,0.017198,0.029125,6.93,0.1911,0.0214
D001,R241,463.04,18.5216,12.9651,31.4867,0.028708,0.048619,11.58,0.1985,0.0223
D001,R242,444.29,17.7716,12.4401,30.2117,0.027546,0.04665,11.11,0.1978,0.0222
D001,R243,388.5,15.54,10.878,26.418,0.024087,0.040793,9.71,0.1955,0.0219
D001,R244,471.61,18.8644,13.2051,32.0695,0.02924,0.049519,11.79,0.1989,0.0224
D001,R245,470.61,18.8244,13.1771,32.0015,0.029178,0.049414,11.77,0.1988,0.0224
D001,R246,619.48,24.7792,17.3454,42.1246,0.038408,0.065045,15.49,0.2048,0.0231
D001,R247,609.46,24.3784,17.0649,41.4433,0.037787,0.063993,15.24,0.2044,0.023
D001,R248,697.04,27.8816,19.5171,47.3987,0.043216,0.073189,17.43,0.2079,0.0235
D001,R249,641.11,25.6444,17.9511,43.5955,0.039749,0.067317,16.03,0.2056,0.0232
D001,R250,727.94,29.1176,20.3823,49.4999,0.045132,0.076434,18.2,0.2091,0.0236
D001,R251,482.09,19.2836,13.4985,32.7821,0.02989,0.050619,12.05,0.1993,0.0224
D001,R252,497.4,19.896,13.9272,33.8232,0.030839,0.052227,12.43,0.1999,0.0225
D001,R253,522.15,20.886,14.6202,35.5062,0.032373,0.054826,13.05,0.2009,0.0226
D001,R254,495.45,19.818,13.8726,33.6906,0.030718,0.052022,12.39,0.1998,0.0225
D001,R255,495.19,19.8076,13.8653,33.6729,0.030702,0.051995,12.38,0.1998,0.0225
D001,R256,891.38,35.6552,24.9586,60.6138,0.055266,0.093595,22.28,0.2157,0.0245
D001,R257,917.71,36.7084,25.6959,62.4043,0.056898,0.09636,22.94,0.2167,0.0246
D001,R258,865.93,34.6372,24.246,58.8832,0.053688,0.090923,21.65,0.2146,0.0243
D001,R259,901.12,36.0448,25.2314,61.2762,0.055869,0.094618,22.53,0.216,0.0245
D001,R260,871.41,34.8564,24.3995,59.2559,0.054027,0.091498,21.79,0.2149,0.0244
D001,R261,902.45,36.098,25.2686,61.3666,0.055952,0.094757,22.56,0.2161,0.0245
D001,R262,927.41,37.0964,25.9675,63.0639,0.057499,0.097378,23.19,0.2171,0.0246
D001,R263,1020.88,40.8352,28.5846,69.4198,0.063295,0.107192,25.52,0.2208,0.0251
D001,R264,1030.37,41.2148,28.8504,70.0652,0.063883,0.108189,25.76,0.2212,0.0252
D001,R265,964.3,38.572,27.0004,65.5724,0.059787,0.101251,24.11,0.2186,0.0248
D001,R266,543.62,21.7448,15.2214,36.9662,0.033704,0.05708,13.59,0.2017,0.0227
D001,R267,581.22,23.2488,16.2742,39.523,0.036036,0.061028,14.53,0.2032,0.0229
D001,R268,531.77,21.2708,14.8896,36.1604,0.03297,0.055836,13.29,0.2013,0.0227
D001,R269,564.99,22.5996,15.8197,38.4193,0.035029,0.059324,14.12,0.2026,0.0228
D001,R270,597.66,23.9064,16.7345,40.6409,0.037055,0.062754,14.94,0.2039,0.023
D001,R271,1407.43,56.2972,39.408,95.7052,0.087261,0.14778,35.19,0.2363,0.027
D001,R272,1500.67,60.0268,42.0188,102.0456,0.093042,0.15757,37.52,0.24,0.0275
D001,R273,1422.31,56.8924,39.8247,96.7171,0.088183,0.149343,35.56,0.2369,0.0271
D001,R274,1451.46,58.0584,40.6409,98.6993,0.089991,0.152403,36.29,0.2381,0.0273
D001,R275,1448.23,57.9292,40.5504,98.4796,0.08979,0.152064,36.21,0.2379,0.0272
D001,R276,1477.05,59.082,41.3574,100.4394,0.091577,0.15509,36.93,0.2391,0.0274
D001,R277,1372.84,54.9136,38.4395,93.3531,0.085116,0.144148,34.32,0.2349,0.0269
D001,R278,1368.21,54.7284,38.3099,93.0383,0.084829,0.143662,34.21,0.2347,0.0268
D001,R279,1406.49,56.2596,39.3817,95.6413,0.087202,0.147681,35.16,0.2363,0.027
D001,R280,1358.79,54.3516,38.0461,92.3977,0.084245,0.142673,33.97,0.2344,0.0268
D001,R281,1529.64,61.1856,42.8299,104.0155,0.094838,0.160612,38.24,0.2412,0.0276
D001,R282,1499.44,59.9776,41.9843,101.9619,0.092965,0.157441,37.49,0.24,0.0275
