supplier_id,dc_id,distance_km,cost_nonrefrig_per_unit,refrig_premium_per_unit,total_cost_refrig_per_unit,emit_nonrefrig_kgco2_per_unit,emit_refrig_kgco2_per_unit,travel_time_hrs,decay_nonrefrig,decay_refrig
S01,D058,1545.72,61.8288,43.2802,105.109,0.095835,0.162301,28.1,0.2418,0.0277
S01,D059,1499.5,59.98,41.986,101.966,0.092969,0.157448,27.26,0.24,0.0275
S01,D060,754.1,30.164,21.1148,51.2788,0.046754,0.079181,13.71,0.2102,0.0238
S01,D061,993.67,39.7468,27.8228,67.5696,0.061608,0.104335,18.07,0.2197,0.025
S01,D062,740.15,29.606,20.7242,50.3302,0.045889,0.077716,13.46,0.2096,0.0237
S01,D063,805.48,32.2192,22.5534,54.7726,0.04994,0.084575,14.65,0.2122,0.024
S01,D064,535.56,21.4224,14.9957,36.4181,0.033205,0.056234,9.74,0.2014,0.0227
S01,D065,505.75,20.23,14.161,34.391,0.031357,0.053104,9.2,0.2002,0.0225
S01,D066,608.84,24.3536,17.0475,41.4011,0.037748,0.063928,11.07,0.2044,0.023
S01,D067,446.89,17.8756,12.5129,30.3885,0.027707,0.046923,8.13,0.1979,0.0222
S01,D068,556.06,22.2424,15.5697,37.8121,0.034476,0.058386,10.11,0.2022,0.0228
S01,D069,1389.58,55.5832,38.9082,94.4914,0.086154,0.145906,25.27,0.2356,0.0269
S01,D070,1391.32,55.6528,38.957,94.6098,0.086262,0.146089,25.3,0.2357,0.027
S01,D071,1461.72,58.4688,40.9282,99.397,0.090627,0.153481,26.58,0.2385,0.0273
S01,D072,1434.36,57.3744,40.1621,97.5365,0.08893,0.150608,26.08,0.2374,0.0272
S01,D073,1151.31,46.0524,32.2367,78.2891,0.071381,0.120888,20.93,0.2261,0.0258
S01,D074,1154.62,46.1848,32.3294,78.5142,0.071586,0.121235,20.99,0.2262,0.0258
S01,D075,1196.93,47.8772,33.514,81.3912,0.07421,0.125678,21.76,0.2279,0.026
S01,D076,1351.06,54.0424,37.8297,91.8721,0.083766,0.141861,24.56,0.234,0.0268
S01,D077,1270.26,50.8104,35.5673,86.3777,0.078756,0.133377,23.1,0.2308,0.0264
S01,D078,1278.65,51.146,35.8022,86.9482,0.079276,0.134258,23.25,0.2311,0.0264
S01,D079,1218.82,48.7528,34.127,82.8798,0.075567,0.127976,22.16,0.2288,0.0261
S01,D080,1153.68,46.1472,32.303,78.4502,0.071528,0.121136,20.98,0.2261,0.0258
S01,D081,2022.14,80.8856,56.6199,137.5055,0.125373,0.212325,36.77,0.2609,0.0301
S01,D082,2369.19,94.7676,66.3373,161.1049,0.14689,0.248765,43.08,0.2748,0.0318
S01,D083,2074.92,82.9968,58.0978,141.0946,0.128645,0.217867,37.73,0.263,0.0304
S01,D084,2275.67,91.0268,63.7188,154.7456,0.141092,0.238945,41.38,0.271,0.0314
S01,D085,1160.2,46.408,32.4856,78.8936,0.071932,0.121821,21.09,0.2264,0.0258
S01,D086,989.71,39.5884,27.7119,67.3003,0.061362,0.10392,17.99,0.2196,0.0249
S01,D087,833.45,33.338,23.3366,56.6746,0.051674,0.087512,15.15,0.2133,0.0242
S01,D088,924.22,36.9688,25.8782,62.847,0.057302,0.097043,16.8,0.217,0.0246
S01,D089,1304.11,52.1644,36.5151,88.6795,0.080855,0.136932,23.71,0.2322,0.0265
S01,D090,1369.33,54.7732,38.3412,93.1144,0.084898,0.14378,24.9,0.2348,0.0268
S01,D091,1428.83,57.1532,40.0072,97.1604,0.088587,0.150027,25.98,0.2372,0.0271
S01,D092,867.48,34.6992,24.2894,58.9886,0.053784,0.091085,15.77,0.2147,0.0243
S01,D093,847.0,33.88,23.716,57.596,0.052514,0.088935,15.4,0.2139,0.0242
S01,D094,949.85,37.994,26.5958,64.5898,0.058891,0.099734,17.27,0.218,0.0247
S01,D095,1438.55,57.542,40.2794,97.8214,0.08919,0.151048,26.16,0.2375,0.0272
S01,D096,1529.16,61.1664,42.8165,103.9829,0.094808,0.160562,27.8,0.2412,0.0276
S01,D097,1377.74,55.1096,38.5767,93.6863,0.08542,0.144663,25.05,0.2351,0.0269
S01,D098,1343.03,53.7212,37.6048,91.326,0.083268,0.141018,24.42,0.2337,0.0267
S01,D099,1179.48,47.1792,33.0254,80.2046,0.073128,0.123845,21.45,0.2272,0.0259
S01,D100,336.88,13.4752,9.4326,22.9078,0.020887,0.035372,6.13,0.1935,0.0217
S02,D001,621.46,24.8584,17.4009,42.2593,0.038531,0.065253,11.3,0.2049,0.0231
S02,D002,505.75,20.23,14.161,34.391,0.031357,0.053104,9.2,0.2002,0.0225
S02,D003,422.92,16.9168,11.8418,28.7586,0.026221,0.044407,7.69,0.1969,0.0221
S02,D004,573.65,22.946,16.0622,39.0082,0.035566,0.060233,10.43,0.2029,0.0229
S02,D005,431.75,17.27,12.089,29.359,0.026769,0.045334,7.85,0.1973,0.0222
S02,D006,457.4,18.296,12.8072,31.1032,0.028359,0.048027,8.32,0.1983,0.0223
S02,D007,275.3,11.012,7.7084,18.7204,0.017069,0.028907,5.01,0.191,0.0214
S02,D008,401.88,16.0752,11.2526,27.3278,0.024917,0.042197,7.31,0.1961,0.022
S02,D009,1082.07,43.2828,30.298,73.5808,0.067088,0.113617,19.67,0.2233,0.0254
S02,D010,1025.73,41.0292,28.7204,69.7496,0.063595,0.107702,18.65,0.221,0.0251
S02,D011,1089.9,43.596,30.5172,74.1132,0.067574,0.11444,19.82,0.2236,0.0254
S02,D012,996.73,39.8692,27.9084,67.7776,0.061797,0.104657,18.12,0.2199,0.025
S02,D013,960.24,38.4096,26.8867,65.2963,0.059535,0.100825,17.46,0.2184,0.0248
S02,D014,1292.26,51.6904,36.1833,87.8737,0.08012,0.135687,23.5,0.2317,0.0265
S02,D015,1224.95,48.998,34.2986,83.2966,0.075947,0.12862,22.27,0.229,0.0261
S02,D016,1157.38,46.2952,32.4066,78.7018,0.071758,0.121525,21.04,0.2263,0.0258
S02,D017,1169.64,46.7856,32.7499,79.5355,0.072518,0.122812,21.27,0.2268,0.0258
S02,D018,1273.92,50.9568,35.6698,86.6266,0.078983,0.133762,23.16,0.231,0.0264
S02,D019,515.24,20.6096,14.4267,35.0363,0.031945,0.0541,9.37,0.2006,0.0226
S02,D020,727.06,29.0824,20.3577,49.4401,0.045078,0.076341,13.22,0.2091,0.0236
S02,D021,830.44,33.2176,23.2523,56.4699,0.051487,0.087196,15.1,0.2132,0.0242
S02,D022,733.65,29.346,20.5422,49.8882,0.045486,0.077033,13.34,0.2093,0.0237
S02,D023,637.17,25.4868,17.8408,43.3276,0.039505,0.066903,11.58,0.2055,0.0232
S02,D024,967.41,38.6964,27.0875,65.7839,0.059979,0.101578,17.59,0.2187,0.0248
S02,D025,501.68,20.0672,14.047,34.1142,0.031104,0.052676,9.12,0.2001,0.0225
S02,D026,499.99,19.9996,13.9997,33.9993,0.030999,0.052499,9.09,0.2,0.0225
S02,D027,599.69,23.9876,16.7913,40.7789,0.037181,0.062967,10.9,0.204,0.023
S02,D028,423.26,16.9304,11.8513,28.7817,0.026242,0.044442,7.7,0.1969,0.0221
S02,D029,631.59,25.2636,17.6845,42.9481,0.039159,0.066317,11.48,0.2053,0.0232
S02,D030,458.01,18.3204,12.8243,31.1447,0.028397,0.048091,8.33,0.1983,0.0223
S02,D031,175.48,7.0192,4.9134,11.9326,0.01088,0.018425,3.19,0.187,0.0209
S02,D032,1095.15,43.806,30.6642,74.4702,0.067899,0.114991,19.91,0.2238,0.0255
S02,D033,1134.14,45.3656,31.7559,77.1215,0.070317,0.119085,20.62,0.2254,0.0257
S02,D034,941.4,37.656,26.3592,64.0152,0.058367,0.098847,17.12,0.2177,0.0247
S02,D035,911.82,36.4728,25.531,62.0038,0.056533,0.095741,16.58,0.2165,0.0246
S02,D036,1296.04,51.8416,36.2891,88.1307,0.080354,0.136084,23.56,0.2318,0.0265
S02,D037,1083.04,43.3216,30.3251,73.6467,0.067148,0.113719,19.69,0.2233,0.0254
S02,D038,1181.88,47.2752,33.0926,80.3678,0.073277,0.124097,21.49,0.2273,0.0259
S02,D039,1173.95,46.958,32.8706,79.8286,0.072785,0.123265,21.34,0.227,0.0259
S02,D040,1144.33,45.7732,32.0412,77.8144,0.070948,0.120155,20.81,0.2258,0.0257
S02,D041,1126.78,45.0712,31.5498,76.621,0.06986,0.118312,20.49,0.2251,0.0256
S02,D042,1455.34,58.2136,40.7495,98.9631,0.090231,0.152811,26.46,0.2382,0.0273
S02,D043,1173.5,46.94,32.858,79.798,0.072757,0.123218,21.34,0.2269,0.0259
S02,D044,879.5,35.18,24.626,59.806,0.054529,0.092347,15.99,0.2152,0.0244
S02,D045,727.55,29.102,20.3714,49.4734,0.045108,0.076393,13.23,0.2091,0.0236
S02,D046,779.23,31.1692,21.8184,52.9876,0.048312,0.081819,14.17,0.2112,0.0239
S02,D047,971.85,38.874,27.2118,66.0858,0.060255,0.102044,17.67,0.2189,0.0249
S02,D048,822.97,32.9188,23.0432,55.962,0.051024,0.086412,14.96,0.2129,0.0241
S02,D049,889.96,35.5984,24.9189,60.5173,0.055178,0.093446,16.18,0.2156,0.0244
S02,D050,662.78,26.5112,18.5578,45.069,0.041092,0.069592,12.05,0.2065,0.0233
S02,D051,653.6,26.144,18.3008,44.4448,0.040523,0.068628,11.88,0.2061,0.0233
S02,D052,663.23,26.5292,18.5704,45.0996,0.04112,0.069639,12.06,0.2065,0.0233
S02,D053,982.72,39.3088,27.5162,66.825,0.060929,0.103186,17.87,0.2193,0.0249
S02,D054,702.72,28.1088,19.6762,47.785,0.043569,0.073786,12.78,0.2081,0.0235
S02,D055,1142.58,45.7032,31.9922,77.6954,0.07084,0.119971,20.77,0.2257,0.0257
S02,D056,1064.8,42.592,29.8144,72.4064,0.066018,0.111804,19.36,0.2226,0.0253
S02,D057,1204.26,48.1704,33.7193,81.8897,0.074664,0.126447,21.9,0.2282,0.026
S02,D058,1239.46,49.5784,34.7049,84.2833,0.076847,0.130143,22.54,0.2296,0.0262
S02,D059,1238.44,49.5376,34.6763,84.2139,0.076783,0.130036,22.52,0.2295,0.0262
S02,D060,249.79,9.9916,6.9941,16.9857,0.015487,0.026228,4.54,0.19,0.0212
S02,D061,502.81,20.1124,14.0787,34.1911,0.031174,0.052795,9.14,0.2001,0.0225
S02,D062,239.65,9.586,6.7102,16.2962,0.014858,0.025163,4.36,0.1896,0.0212
S02,D063,429.45,17.178,12.0246,29.2026,0.026626,0.045092,7.81,0.1972,0.0221
S02,D064,179.62,7.1848,5.0294,12.2142,0.011136,0.01886,3.27,0.1872,0.0209
S02,D065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02
S02,D066,134.6,5.384,3.7688,9.1528,0.008345,0.014133,2.45,0.1854,0.0207
S02,D067,149.06,5.9624,4.1737,10.1361,0.009242,0.015651,2.71,0.186,0.0207
S02,D068,135.43,5.4172,3.792,9.2092,0.008397,0.01422,2.46,0.1854,0.0207
S02,D069,1494.28,59.7712,41.8398,101.611,0.092645,0.156899,27.17,0.2398,0.0275
S02,D070,1526.23,61.0492,42.7344,103.7836,0.094626,0.160254,27.75,0.241,0.0276
S02,D071,1625.72,65.0288,45.5202,110.549,0.100795,0.170701,29.56,0.245,0.0281
S02,D072,1577.74,63.1096,44.1767,107.2863,0.09782,0.165663,28.69,0.2431,0.0279
S02,D073,1240.43,49.6172,34.732,84.3492,0.076907,0.130245,22.55,0.2296,0.0262
S02,D074,1231.61,49.2644,34.4851,83.7495,0.07636,0.129319,22.39,0.2293,0.0262
S02,D075,1338.1,53.524,37.4668,90.9908,0.082962,0.140501,24.33,0.2335,0.0267
S02,D076,1455.13,58.2052,40.7436,98.9488,0.090218,0.152789,26.46,0.2382,0.0273
S02,D077,837.16,33.4864,23.4405,56.9269,0.051904,0.087902,15.22,0.2135,0.0242
S02,D078,849.75,33.99,23.793,57.783,0.052685,0.089224,15.45,0.214,0.0242
S02,D079,858.52,34.3408,24.0386,58.3794,0.053228,0.090145,15.61,0.2143,0.0243
S02,D080,699.35,27.974,19.5818,47.5558,0.04336,0.073432,12.72,0.208,0.0235
S02,D081,1677.58,67.1032,46.9722,114.0754,0.10401,0.176146,30.5,0.2471,0.0284
S02,D082,2023.46,80.9384,56.6569,137.5953,0.125455,0.212463,36.79,0.2609,0.0301
S02,D083,1696.47,67.8588,47.5012,115.36,0.105181,0.178129,30.84,0.2479,0.0285
S02,D084,1922.34,76.8936,53.8255,130.7191,0.119185,0.201846,34.95,0.2569,0.0296
S02,D085,999.47,39.9788,27.9852,67.964,0.061967,0.104944,18.17,0.22,0.025
S02,D086,862.76,34.5104,24.1573,58.6677,0.053491,0.09059,15.69,0.2145,0.0243
S02,D087,740.91,29.6364,20.7455,50.3819,0.045936,0.077796,13.47,0.2096,0.0237
S02,D088,800.91,32.0364,22.4255,54.4619,0.049656,0.084096,14.56,0.212,0.024
S02,D089,971.72,38.8688,27.2082,66.077,0.060247,0.102031,17.67,0.2189,0.0249
S02,D090,1005.8,40.232,28.1624,68.3944,0.06236,0.105609,18.29,0.2202,0.025
S02,D091,1091.19,43.6476,30.5533,74.2009,0.067654,0.114575,19.84,0.2236,0.0255
S02,D092,541.79,21.6716,15.1701,36.8417,0.033591,0.056888,9.85,0.2017,0.0227
S02,D093,526.41,21.0564,14.7395,35.7959,0.032637,0.055273,9.57,0.2011,0.0226
S02,D094,646.93,25.8772,18.114,43.9912,0.04011,0.067928,11.76,0.2059,0.0232
S02,D095,1531.33,61.2532,42.8772,104.1304,0.094942,0.16079,27.84,0.2413,0.0277
S02,D096,1651.33,66.0532,46.2372,112.2904,0.102382,0.17339,30.02,0.2461,0.0283
S02,D097,1438.65,57.546,40.2822,97.8282,0.089196,0.151058,26.16,0.2375,0.0272
S02,D098,1397.07,55.8828,39.118,95.0008,0.086618,0.146692,25.4,0.2359,0.027
S02,D099,1266.53,50.6612,35.4628,86.124,0.078525,0.132986,23.03,0.2307,0.0263
S02,D100,539.63,21.5852,15.1096,36.6948,0.033457,0.056661,9.81,0.2016,0.0227
S03,D001,619.75,24.79,17.353,42.143,0.038425,0.065074,11.27,0.2048,0.0231
S03,D002,504.16,20.1664,14.1165,34.2829,0.031258,0.052937,9.17,0.2002,0.0225
S03,D003,420.71,16.8284,11.7799,28.6083,0.026084,0.044175,7.65,0.1968,0.0221
S03,D004,571.55,22.862,16.0034,38.8654,0.035436,0.060013,10.39,0.2029,0.0229
S03,D005,429.44,17.1776,12.0243,29.2019,0.026625,0.045091,7.81,0.1972,0.0221
S03,D006,456.78,18.2712,12.7898,31.061,0.02832,0.047962,8.31,0.1983,0.0223
S03,D007,274.03,10.9612,7.6728,18.634,0.01699,0.028773,4.98,0.191,0.0214
S03,D008,399.34,15.9736,11.1815,27.1551,0.024759,0.041931,7.26,0.196,0.022
S03,D009,1079.97,43.1988,30.2392,73.438,0.066958,0.113397,19.64,0.2232,0.0254
S03,D010,1023.56,40.9424,28.6597,69.6021,0.063461,0.107474,18.61,0.2209,0.0251
S03,D011,1087.46,43.4984,30.4489,73.9473,0.067423,0.114183,19.77,0.2235,0.0254
S03,D012,995.06,39.8024,27.8617,67.6641,0.061694,0.104481,18.09,0.2198,0.025
S03,D013,958.36,38.3344,26.8341,65.1685,0.059418,0.100628,17.42,0.2183,0.0248
S03,D014,1289.81,51.5924,36.1147,87.7071,0.079968,0.13543,23.45,0.2316,0.0264
S03,D015,1222.64,48.9056,34.2339,83.1395,0.075804,0.128377,22.23,0.2289,0.0261
S03,D016,1155.63,46.2252,32.3576,78.5828,0.071649,0.121341,21.01,0.2262,0.0258
S03,D017,1167.22,46.6888,32.6822,79.371,0.072368,0.122558,21.22,0.2267,0.0258
S03,D018,1271.55,50.862,35.6034,86.4654,0.078836,0.133513,23.12,0.2309,0.0264
S03,D019,517.84,20.7136,14.4995,35.2131,0.032106,0.054373,9.42,0.2007,0.0226
S03,D020,729.16,29.1664,20.4165,49.5829,0.045208,0.076562,13.26,0.2092,0.0236
S03,D021,832.78,33.3112,23.3178,56.629,0.051632,0.087442,15.14,0.2133,0.0242
S03,D022,736.07,29.4428,20.61,50.0528,0.045636,0.077287,13.38,0.2094,0.0237
S03,D023,639.5,25.58,17.906,43.486,0.039649,0.067147,11.63,0.2056,0.0232
S03,D024,969.71,38.7884,27.1519,65.9403,0.060122,0.10182,17.63,0.2188,0.0248
S03,D025,504.19,20.1676,14.1173,34.2849,0.03126,0.05294,9.17,0.2002,0.0225
S03,D026,502.15,20.086,14.0602,34.1462,0.031133,0.052726,9.13,0.2001,0.0225
S03,D027,601.61,24.0644,16.8451,40.9095,0.0373,0.063169,10.94,0.2041,0.023
S03,D028,423.66,16.9464,11.8625,28.8089,0.026267,0.044484,7.7,0.1969,0.0221
S03,D029,632.83,25.3132,17.7192,43.0324,0.039235,0.066447,11.51,0.2053,0.0232
S03,D030,457.95,18.318,12.8226,31.1406,0.028393,0.048085,8.33,0.1983,0.0223
S03,D031,174.56,6.9824,4.8877,11.8701,0.010823,0.018329,3.17,0.187,0.0209
S03,D032,1092.58,43.7032,30.5922,74.2954,0.06774,0.114721,19.87,0.2237,0.0255
S03,D033,1131.56,45.2624,31.6837,76.9461,0.070157,0.118814,20.57,0.2253,0.0257
S03,D034,938.83,37.5532,26.2872,63.8404,0.058207,0.098577,17.07,0.2176,0.0247
S03,D035,909.24,36.3696,25.4587,61.8283,0.056373,0.09547,16.53,0.2164,0.0245
S03,D036,1293.44,51.7376,36.2163,87.9539,0.080193,0.135811,23.52,0.2317,0.0265
S03,D037,1080.45,43.218,30.2526,73.4706,0.066988,0.113447,19.64,0.2232,0.0254
S03,D038,1181.53,47.2612,33.0828,80.344,0.073255,0.124061,21.48,0.2273,0.0259
S03,D039,1173.58,46.9432,32.8602,79.8034,0.072762,0.123226,21.34,0.2269,0.0259
S03,D040,1143.65,45.746,32.0222,77.7682,0.070906,0.120083,20.79,0.2257,0.0257
S03,D041,1126.03,45.0412,31.5288,76.57,0.069814,0.118233,20.47,0.225,0.0256
S03,D042,1454.27,58.1708,40.7196,98.8904,0.090165,0.152698,26.44,0.2382,0.0273
S03,D043,1172.94,46.9176,32.8423,79.7599,0.072722,0.123159,21.33,0.2269,0.0259
S03,D044,877.07,35.0828,24.558,59.6408,0.054378,0.092092,15.95,0.2151,0.0244
S03,D045,725.32,29.0128,20.309,49.3218,0.04497,0.076159,13.19,0.209,0.0236
S03,D046,776.82,31.0728,21.751,52.8238,0.048163,0.081566,14.12,0.2111,0.0239
S03,D047,969.64,38.7856,27.1499,65.9355,0.060118,0.101812,17.63,0.2188,0.0248
S03,D048,820.72,32.8288,22.9802,55.809,0.050885,0.086176,14.92,0.2128,0.0241
S03,D049,887.51,35.5004,24.8503,60.3507,0.055026,0.093189,16.14,0.2155,0.0244
S03,D050,660.25,26.41,18.487,44.897,0.040935,0.069326,12.0,0.2064,0.0233
S03,D051,651.01,26.0404,18.2283,44.2687,0.040363,0.068356,11.84,0.206,0.0233
S03,D052,661.14,26.4456,18.5119,44.9575,0.040991,0.06942,12.02,0.2064,0.0233
S03,D053,980.3,39.212,27.4484,66.6604,0.060779,0.102931,17.82,0.2192,0.0249
S03,D054,700.13,28.0052,19.6036,47.6088,0.043408,0.073514,12.73,0.208,0.0235
S03,D055,1141.24,45.6496,31.9547,77.6043,0.070757,0.11983,20.75,0.2256,0.0257
S03,D056,1063.55,42.542,29.7794,72.3214,0.06594,0.111673,19.34,0.2225,0.0253
S03,D057,1202.88,48.1152,33.6806,81.7958,0.074579,0.126302,21.87,0.2281,0.026
S03,D058,1238.43,49.5372,34.676,84.2132,0.076783,0.130035,22.52,0.2295,0.0262
S03,D059,1237.14,49.4856,34.6399,84.1255,0.076703,0.1299,22.49,0.2295,0.0262
S03,D060,251.65,10.066,7.0462,17.1122,0.015602,0.026423,4.58,0.1901,0.0213
S03,D061,503.63,20.1452,14.1016,34.2468,0.031225,0.052881,9.16,0.2001,0.0225
S03,D062,241.72,9.6688,6.7682,16.437,0.014987,0.025381,4.39,0.1897,0.0212
S03,D063,432.01,17.2804,12.0963,29.3767,0.026785,0.045361,7.85,0.1973,0.0222
S03,D064,181.66,7.2664,5.0865,12.3529,0.011263,0.019074,3.3,0.1873,0.0209
S03,D065,2.59,0.1036,0.0725,0.1761,0.000161,0.000272,0.05,0.1801,0.02
S03,D066,134.33,5.3732,3.7612,9.1344,0.008328,0.014105,2.44,0.1854,0.0207
S03,D067,146.48,5.8592,4.1014,9.9606,0.009082,0.01538,2.66,0.1859,0.0207
S03,D068,133.88,5.3552,3.7486,9.1038,0.008301,0.014057,2.43,0.1854,0.0207
S03,D069,1491.79,59.6716,41.7701,101.4417,0.092491,0.156638,27.12,0.2397,0.0275
S03,D070,1523.71,60.9484,42.6639,103.6123,0.09447,0.15999,27.7,0.2409,0.0276
S03,D071,1623.17,64.9268,45.4488,110.3756,0.100637,0.170433,29.51,0.2449,0.0281
S03,D072,1575.2,63.008,44.1056,107.1136,0.097662,0.165396,28.64,0.243,0.0279
S03,D073,1237.94,49.5176,34.6623,84.1799,0.076752,0.129984,22.51,0.2295,0.0262
S03,D074,1229.13,49.1652,34.4156,83.5808,0.076206,0.129059,22.35,0.2292,0.0261
S03,D075,1335.56,53.4224,37.3957,90.8181,0.082805,0.140234,24.28,0.2334,0.0267
S03,D076,1452.64,58.1056,40.6739,98.7795,0.090064,0.152527,26.41,0.2381,0.0273
S03,D077,837.11,33.4844,23.4391,56.9235,0.051901,0.087897,15.22,0.2135,0.0242
S03,D078,849.66,33.9864,23.7905,57.7769,0.052679,0.089214,15.45,0.214,0.0242
S03,D079,857.75,34.31,24.017,58.327,0.053181,0.090064,15.6,0.2143,0.0243
S03,D080,699.54,27.9816,19.5871,47.5687,0.043371,0.073452,12.72,0.208,0.0235
S03,D081,1676.91,67.0764,46.9535,114.0299,0.103968,0.176076,30.49,0.2471,0.0284
S03,D082,2022.85,80.914,56.6398,137.5538,0.125417,0.212399,36.78,0.2609,0.0301
